Region_Code,Prefecture,Total_Population,Japanese_Population,Population_Under_15,Population_15_to_64,Population_65_and_Over,Foreign_Population,Number_of_Births,Total_Fertility_Rate,Number_of_Deaths,In_Migrants_Japanese,Out_Migrants_Japanese,Number_of_Private_Households,Private_Household_Members,One_Person_Households,Number_of_Marriages,Number_of_Divorces,Total_Area_sq_km,Habitable_Area_sq_km,Natural_Park_Area_sq_km,Gross_Prefectural_Product_2015_base,Prefectural_Income_2015_base,Per_Capita_Prefectural_Income_2015_base,Number_of_Establishments_Private,Establishments_Construction_Private,Establishments_Manufacturing_Private,Establishments_Information_and_Communications_Private,Establishments_Wholesale_and_Retail_Private,Establishments_Accommodation_and_Food_Services_Private,Establishments_Living_related_and_Amusement_Services_Private,Establishments_Medical_and_Welfare_Private,Number_of_Employees_Private,Employees_Construction_Private,Employees_Manufacturing_Private,Employees_Information_and_Communications_Private,Employees_Wholesale_and_Retail_Private,Employees_Accommodation_and_Food_Services_Private,Employees_Living_related_and_Amusement_Services_Private,Employees_Medical_and_Welfare_Private,Commercial_Farm_Households,Non_commercial_Farm_Households,Cultivated_Land_Area,Number_of_Hotels_and_Ryokans,Number_of_Guest_Rooms,Number_of_Kindergartens,Kindergarten_Enrollment,Number_of_Elementary_Schools,Elementary_School_Pupils,Number_of_Junior_High_Schools,Junior_High_School_Students,Number_of_Compulsory_Education_Schools,Students_in_Early_Grades_Compulsory_Ed,Students_in_Later_Grades_Compulsory_Ed,Number_of_Senior_High_Schools,Senior_High_School_Students,Number_of_Junior_Colleges,Number_of_Universities,Junior_College_Students,University_Students,Number_of_Community_Centers,Number_of_Libraries,Number_of_Museums,Number_of_Theaters_and_Concert_Halls,Public_Sports_Facilities,Private_Sports_Facilities,Number_of_Cinemas,Number_of_Passports_Issued,Total_Overnight_Guests,Total_Foreign_Overnight_Guests,Total_Dwellings,Vacant_Dwellings,Owned_Dwellings,Detached_Houses,Floor_Area_per_Dwelling_sq_m,Total_Population_Sewage,Population_without_Flush_Toilets,Total_Waste_Discharge_t,Waste_Discharge_per_Person_per_Day_g,Recycling_Rate_pct,Number_of_Retail_Stores,Number_of_Restaurants,Number_of_Large_Scale_Retail_Stores,Number_of_General_Hospitals,Number_of_General_Clinics,Number_of_Dental_Clinics,Number_of_Physicians,Number_of_Dentists,Number_of_Pharmacists,Number_of_Daycare_Centers,Children_in_Daycare,Consumer_Expenditure_Two_or_more_person_households,Food_Expenses_Two_or_more_person_households,Housing_Expenses_Two_or_more_person_households,Culture_and_Recreation_Expenses_Two_or_more_person_households
R00000,全国,124352000,121193000,14173000,73952000,36227000,2402460,770759,1.26,1569050,2229186,2229186,55704949,123162995,21151042,504930,179099,37297153,12294940,5604631,558778326,393960086,3123,5156063,485135,412617,76559,1228920,599058,434209,462531,57949915,3737415,8803643,1986839,11611924,4678739,2176139,8162398,1027892,719187,4297000,50321,1770752,8837,841824,18980,6049685,9944,3177508,207,50595,25450,4791,2918501,303,810,83585,2632775,13163,3394,1305,1832,45658,29821,575,3401533,499904310,95027710,65046700,9001600,33875500,29319400,91.66,125634343,4900687,40344086,880,19.6,872699,496217,18410,7100,105182,67755,343275,105267,323690,30356,2599190,293997,81738,18006,28630
R01000,北海道,5092000,5041000,514000,2897000,1681000,34321,26407,1.12,74437,47388,52915,2469063,5032739,999825,18665,8398,7841840,2268995,880179,19725624,14011490,2682,216124,21256,10246,2544,51407,27724,18627,19946,2165390,183261,187396,44321,456909,186116,85622,352552,32232,5362,1141000,2942,123430,331,29964,950,221397,563,119115,26,2240,1347,270,109290,14,37,3137,79983,364,165,66,74,3728,1151,19,77666,32783470,6184810,2888500,451900,1381200,1258400,91.71,5154673,263300,1763487,937,22.9,36512,22170,822,465,3436,2784,13613,4302,11625,1099,79262,296888,74341,26730,25661
R02000,青森県,1184000,1177000,118000,649000,417000,5409,5985,1.24,20117,15226,20792,509649,1191534,168917,3656,1664,964510,325268,114187,4456607,3259418,2633,55113,5642,2695,390,14097,6755,5978,5112,498418,50709,60863,6018,106856,36321,21542,77912,28062,8403,148400,580,19340,85,3404,249,52437,153,28541,0,0,0,63,28286,5,10,885,15121,242,35,5,21,697,178,7,9922,3880720,255240,590300,98800,349100,368000,120.65,1229378,144254,444849,991,14.0,10663,5570,169,73,859,493,2795,715,2373,472,29676,263371,77899,14433,20630
R03000,岩手県,1163000,1154000,120000,636000,407000,6937,5788,1.21,19342,14903,19690,490828,1174106,163290,3508,1492,1527504,375140,72242,4747426,3227228,2666,54598,5292,3483,433,13678,6058,5450,4971,518167,48016,90009,5521,104817,36772,20788,75788,33861,18827,147100,774,21665,64,3294,271,52972,149,29109,1,400,204,79,28501,4,6,663,10909,174,47,21,27,867,167,8,10931,4980740,262880,579400,100400,334900,344000,118.54,1193904,240778,392513,901,16.8,10434,4769,195,77,889,548,2758,965,2572,391,27461,298536,81997,18598,28499
R04000,宮城県,2264000,2239000,250000,1352000,662000,19453,12852,1.09,28040,42940,43957,980549,2251390,362255,8431,3046,728229,318594,171201,9485225,6452135,2803,95305,10458,5087,1145,25004,10306,8298,8116,1031186,96921,121586,21406,224589,78542,37880,134033,28632,12877,124400,704,34267,208,19248,361,108637,200,57116,4,1094,544,96,53555,5,14,2620,48747,434,35,17,42,844,449,11,36253,9178210,514580,1129200,140300,590100,543200,96.82,2259368,182642,801656,972,15.0,16668,8384,375,108,1749,1054,6140,1921,5570,515,38360,305541,83835,21914,27380
R05000,秋田県,914000,909000,83000,474000,357000,3651,3992,1.18,17256,10002,13177,383531,923812,117169,2447,1068,1163752,323329,123801,3530452,2478173,2583,44883,4857,3127,282,11368,4976,5265,3851,398671,37900,64599,3374,82750,28088,16828,68859,27780,9336,146000,507,15117,32,1715,174,36478,104,20725,3,246,161,52,20438,4,7,537,8664,315,49,11,22,857,197,4,7526,2606890,78510,440600,69500,284800,293200,132.33,942051,156600,340603,991,14.1,8797,3908,156,49,817,424,2438,600,2055,268,21624,272086,78124,11954,23175
R06000,山形県,1026000,1018000,109000,556000,361000,7149,5674,1.32,16883,11436,15626,396792,1035323,112791,3184,1197,932315,287329,155510,4284158,3036349,2843,52141,5740,4515,336,12793,6030,5599,4190,465796,40469,103624,3635,90446,34332,18647,67668,26796,12832,113500,757,19570,55,4352,223,46867,94,25805,3,783,408,60,26060,3,7,892,11642,424,40,16,23,648,249,10,12281,3833000,137670,455400,61700,293600,297900,134.44,1041881,56710,345727,909,13.6,9955,4798,148,53,903,468,2625,691,2174,302,24018,322992,84105,20613,26661
R07000,福島県,1767000,1751000,190000,990000,586000,12868,9709,1.27,27394,21554,28480,740089,1788951,245335,6088,2561,1378439,423098,180002,7828577,5192935,2833,81677,9987,6379,551,19975,9016,7614,6503,802365,79386,164260,6845,154620,60435,29887,108365,41060,21613,134500,1438,41820,207,13499,390,83340,212,44224,7,914,460,97,42668,5,8,1397,14575,361,71,13,35,1268,375,7,21327,7508940,179180,862900,131000,496500,512900,113.33,1837441,133062,684886,1021,12.8,15210,6697,257,101,1390,834,4096,1398,3791,391,33563,307186,78984,22159,28081
R08000,茨城県,2825000,2744000,312000,1647000,865000,57819,15905,1.27,37256,46596,47776,1181598,2802960,385760,10163,3900,609756,388892,90896,13771281,8882258,3098,108602,14004,9826,846,26387,11100,10426,8121,1237104,84040,279017,19466,225563,81979,50919,156690,43920,27841,159400,893,28957,196,16261,449,130570,224,70048,15,7274,2979,119,68813,3,11,556,27310,227,67,25,37,1158,706,11,58927,6628220,207150,1390900,196200,823500,832100,105.11,2879686,190024,996609,948,21.0,19962,9210,447,153,1775,1364,6029,1918,6709,629,56911,307817,75270,18701,28065
R09000,栃木県,1897000,1848000,210000,1114000,573000,37408,10518,1.24,24992,29890,32447,795449,1891685,261757,7154,2658,640809,300506,133443,8946482,6054511,3132,80062,8776,8064,519,19572,9099,7365,6420,870819,54688,211289,7421,159007,68355,37472,111665,31993,14209,120700,1398,36821,74,7783,336,90969,156,49295,6,1626,820,76,47409,6,9,1306,20604,183,55,25,27,931,569,8,34410,9094410,294150,971000,163700,554700,571100,106.04,1932026,102731,630025,893,15.4,14556,7302,286,91,1480,959,4949,1373,4376,439,39031,325226,87797,17432,32045
